科目代码,科目名称,借贷,类别,辅助核算,匹配方法,匹配方法说明,辅助核算是否必要,名称是否允许字面不一致,资产负债表,利润表,报表归属说明,是否直接影响利润表,是否直接影响资产负债表
150102,其他债权投资,借,资产,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,资产类科目，用于资产负债表,否,否(通过父科目汇总影响)
1511,长期股权投资,借,资产,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,否,资产类科目，用于资产负债表,否,否(通过父科目汇总影响)
151101,股票投资,借,资产,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,资产类科目，用于资产负债表,否,否(通过父科目汇总影响)
151102,其他股权投资,借,资产,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,资产类科目，用于资产负债表,否,否(通过父科目汇总影响)
1601,固定资产,借,资产,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,否,资产类科目，用于资产负债表,否,是
1602,累计折旧,贷,资产,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,否,资产类科目，用于资产负债表,否,是
1604,在建工程,借,资产,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,否,资产类科目，用于资产负债表,否,否(通过父科目汇总影响)
160401,建筑工程,借,资产,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,资产类科目，用于资产负债表,否,否(通过父科目汇总影响)
160402,安装工程,借,资产,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,资产类科目，用于资产负债表,否,否(通过父科目汇总影响)
160403,技术改造工程,借,资产,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,资产类科目，用于资产负债表,否,否(通过父科目汇总影响)
160404,其他支出,借,资产,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,资产类科目，用于资产负债表,否,否(通过父科目汇总影响)
1605,工程物资,借,资产,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,否,资产类科目，用于资产负债表,否,是
1606,固定资产清理,借,资产,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,否,资产类科目，用于资产负债表,否,是
1621,生产性生物资产,借,资产,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,否,资产类科目，用于资产负债表,否,是
1622,生产性生物资产累计折旧,贷,资产,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,否,资产类科目，用于资产负债表,否,是
1701,无形资产,借,资产,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,否,资产类科目，用于资产负债表,否,是
1702,累计摊销,贷,资产,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,否,资产类科目，用于资产负债表,否,是
1801,长期待摊费用,借,资产,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,否,资产类科目，用于资产负债表,否,是
1901,待处理财产损溢,借,资产,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,否,资产类科目，用于资产负债表,否,否(通过父科目汇总影响)
190101,待处理流动资产损溢,借,资产,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,资产类科目，用于资产负债表,否,否(通过父科目汇总影响)
190102,待处理非流动资产损溢,借,资产,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,资产类科目，用于资产负债表,否,否(通过父科目汇总影响)
2001,短期借款,贷,负债,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,否,负债类科目，用于资产负债表,否,是
2201,应付票据,贷,负债,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,否,负债类科目，用于资产负债表,否,是
2202,应付账款,贷,负债,供应商,智能语义匹配（大模型）,有辅助核算，需要大模型匹配并处理辅助核算映射,是,是,是,否,负债类科目，用于资产负债表,否,是
2203,预收账款,贷,负债,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,否,负债类科目，用于资产负债表,否,是
2211,应付职工薪酬,贷,负债,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,否,负债类科目，用于资产负债表,否,否(通过父科目汇总影响)
221101,职工工资,贷,负债,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,负债类科目，用于资产负债表,否,否(通过父科目汇总影响)
221102,奖金、津贴和补贴,贷,负债,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,负债类科目，用于资产负债表,否,否(通过父科目汇总影响)
221103,职工福利费,贷,负债,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,负债类科目，用于资产负债表,否,否(通过父科目汇总影响)
221104,社会保险费,贷,负债,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,负债类科目，用于资产负债表,否,否(通过父科目汇总影响)
221105,住房公积金,贷,负债,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,负债类科目，用于资产负债表,否,否(通过父科目汇总影响)
221106,工会经费,贷,负债,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,负债类科目，用于资产负债表,否,否(通过父科目汇总影响)
221107,职工教育经费,贷,负债,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,负债类科目，用于资产负债表,否,否(通过父科目汇总影响)
221108,非货币性福利,贷,负债,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,负债类科目，用于资产负债表,否,否(通过父科目汇总影响)
221109,辞退福利,贷,负债,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,负债类科目，用于资产负债表,否,否(通过父科目汇总影响)
2221,应交税费,贷,负债,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,否,负债类科目，用于资产负债表,否,否(通过父科目汇总影响)
222101,应交增值税,贷,负债,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,负债类科目，用于资产负债表,否,否(通过父科目汇总影响)
22210101,进项税额,借,负债,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,负债类科目，用于资产负债表,否,否(通过父科目汇总影响)
22210102,​已交税金​,借,负债,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,负债类科目，用于资产负债表,否,否(通过父科目汇总影响)
22210103,​转出未交增值税​,借,负债,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,负债类科目，用于资产负债表,否,否(通过父科目汇总影响)
22210104,​减免税款​,借,负债,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,负债类科目，用于资产负债表,否,否(通过父科目汇总影响)
22210105,销项税额,贷,负债,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,负债类科目，用于资产负债表,否,否(通过父科目汇总影响)
22210106,出口退税,贷,负债,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,负债类科目，用于资产负债表,否,否(通过父科目汇总影响)
22210107,出口抵减内销产品应纳税额,借,负债,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,负债类科目，用于资产负债表,否,否(通过父科目汇总影响)
22210108,转出多交增值税,贷,负债,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,负债类科目，用于资产负债表,否,否(通过父科目汇总影响)
22210109,进项税额转出,贷,负债,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,负债类科目，用于资产负债表,否,否(通过父科目汇总影响)
22210110,销项税额抵减,借,负债,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,负债类科目，用于资产负债表,否,否(通过父科目汇总影响)
22210111,小规模增值税,贷,负债,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,负债类科目，用于资产负债表,否,否(通过父科目汇总影响)
22210112,增值税检查调整,贷,负债,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,负债类科目，用于资产负债表,否,否(通过父科目汇总影响)
222102,未交增值税,贷,负债,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,负债类科目，用于资产负债表,否,否(通过父科目汇总影响)
222103,应交消费税,贷,负债,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,负债类科目，用于资产负债表,否,否(通过父科目汇总影响)
222104,应交城市维护建设税,贷,负债,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,负债类科目，用于资产负债表,否,否(通过父科目汇总影响)
222105,应交企业所得税,贷,负债,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,负债类科目，用于资产负债表,否,否(通过父科目汇总影响)
222106,应交资源税,贷,负债,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,负债类科目，用于资产负债表,否,否(通过父科目汇总影响)
222107,应交土地增值税,贷,负债,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,负债类科目，用于资产负债表,否,否(通过父科目汇总影响)
222108,应交城镇土地使用税,贷,负债,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,负债类科目，用于资产负债表,否,否(通过父科目汇总影响)
222109,应交房产税,贷,负债,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,负债类科目，用于资产负债表,否,否(通过父科目汇总影响)
222110,应交车船税,贷,负债,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,负债类科目，用于资产负债表,否,否(通过父科目汇总影响)
222111,应交个人所得税 ,贷,负债,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,负债类科目，用于资产负债表,否,否(通过父科目汇总影响)
222112,应交矿产资源补偿费,贷,负债,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,负债类科目，用于资产负债表,否,否(通过父科目汇总影响)
222113,应交排污费,贷,负债,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,负债类科目，用于资产负债表,否,否(通过父科目汇总影响)
222114,应交个人所得税,贷,负债,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,负债类科目，用于资产负债表,否,否(通过父科目汇总影响)
222115,应交营业税 ,贷,负债,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,负债类科目，用于资产负债表,否,否(通过父科目汇总影响)
222116,应交地方教育费附加,贷,负债,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,负债类科目，用于资产负债表,否,否(通过父科目汇总影响)
222117,应交印花税 ,贷,负债,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,负债类科目，用于资产负债表,否,否(通过父科目汇总影响)
2231,应付利息,贷,负债,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,否,负债类科目，用于资产负债表,否,是
2232,应付利润,贷,负债,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,是,利润相关科目，既影响资产负债表（权益）也影响利润表（净利润）,是(间接),是
2241,其他应付款,贷,负债,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,否,负债类科目，用于资产负债表,否,是
2401,递延收益,贷,负债,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,否,负债类科目，用于资产负债表,否,是
2501,长期借款,贷,负债,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,否,负债类科目，用于资产负债表,否,是
2701,长期应付款,贷,负债,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,否,负债类科目，用于资产负债表,否,是
3001,实收资本,贷,权益,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,否,所有者权益类科目，用于资产负债表,否,是
3002,资本公积,贷,权益,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,否,所有者权益类科目，用于资产负债表,否,否(通过父科目汇总影响)
300201,资本溢价,贷,权益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,所有者权益类科目，用于资产负债表,否,否(通过父科目汇总影响)
300202,接受捐赠非现金资产准备,贷,权益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,所有者权益类科目，用于资产负债表,否,否(通过父科目汇总影响)
300206,外币资本折算差额,贷,权益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,所有者权益类科目，用于资产负债表,否,否(通过父科目汇总影响)
300207,其他资本公积,贷,权益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,所有者权益类科目，用于资产负债表,否,否(通过父科目汇总影响)
3101,盈余公积,贷,权益,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,否,所有者权益类科目，用于资产负债表,否,否(通过父科目汇总影响)
310101,职工奖励及福利基金,贷,权益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,所有者权益类科目，用于资产负债表,否,否(通过父科目汇总影响)
310102,储备基金,贷,权益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,所有者权益类科目，用于资产负债表,否,否(通过父科目汇总影响)
310103,企业发展基金,贷,权益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,所有者权益类科目，用于资产负债表,否,否(通过父科目汇总影响)
310104,利润归还投资,贷,权益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,是,利润相关科目，既影响资产负债表（权益）也影响利润表（净利润）,是(间接),否(通过父科目汇总影响)
310105,法定公益金,借,权益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,所有者权益类科目，用于资产负债表,否,否(通过父科目汇总影响)
3103,本年利润,贷,权益,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,是,利润相关科目，既影响资产负债表（权益）也影响利润表（净利润）,是(间接),是
3104,利润分配,贷,权益,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,是,利润相关科目，既影响资产负债表（权益）也影响利润表（净利润）,是(间接),否(通过父科目汇总影响)
310401,应付利润,贷,权益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,是,利润相关科目，既影响资产负债表（权益）也影响利润表（净利润）,是(间接),否(通过父科目汇总影响)
310402,未分配利润,贷,权益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,是,利润相关科目，既影响资产负债表（权益）也影响利润表（净利润）,是(间接),否(通过父科目汇总影响)
310403,提取法定盈余公积,贷,权益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,否,所有者权益类科目，用于资产负债表,是(间接),否(通过父科目汇总影响)
4001,生产成本,借,成本,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,是,成本类科目，通过存货影响资产负债表，通过主营业务成本影响利润表,是,否(通过存货间接影响)
400101,基本生产成本,借,成本,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,是,成本类科目，通过存货影响资产负债表，通过主营业务成本影响利润表,是,否(通过存货间接影响)
400102,辅助生产成本,借,成本,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,是,成本类科目，通过存货影响资产负债表，通过主营业务成本影响利润表,是,否(通过存货间接影响)
400103,制造费用,借,成本,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,是,成本类科目，通过存货影响资产负债表，通过主营业务成本影响利润表,是,否(通过存货间接影响)
4002,劳务成本,借,成本,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,是,成本类科目，通过存货影响资产负债表，通过主营业务成本影响利润表,是,否(通过存货间接影响)
4101,制造费用,借,成本,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,是,成本类科目，通过存货影响资产负债表，通过主营业务成本影响利润表,是,否(通过存货间接影响)
410101,机物料消耗,借,成本,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,是,成本类科目，通过存货影响资产负债表，通过主营业务成本影响利润表,是,否(通过存货间接影响)
410102,修理费,借,成本,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,是,成本类科目，通过存货影响资产负债表，通过主营业务成本影响利润表,是,否(通过存货间接影响)
410103,职工薪酬,借,成本,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,是,成本类科目，通过存货影响资产负债表，通过主营业务成本影响利润表,是,否(通过存货间接影响)
410104,折旧费,借,成本,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,是,成本类科目，通过存货影响资产负债表，通过主营业务成本影响利润表,是,否(通过存货间接影响)
410105,办公费,借,成本,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,是,成本类科目，通过存货影响资产负债表，通过主营业务成本影响利润表,是,否(通过存货间接影响)
410106,水电费,借,成本,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,是,成本类科目，通过存货影响资产负债表，通过主营业务成本影响利润表,是,否(通过存货间接影响)
410107,停工损失,借,成本,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,是,成本类科目，通过存货影响资产负债表，通过主营业务成本影响利润表,是,否(通过存货间接影响)
4301,研发支出,借,成本,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,是,成本类科目，通过存货影响资产负债表，通过主营业务成本影响利润表,是,否(通过存货间接影响)
430101,费用化支出,借,成本,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,是,成本类科目，通过存货影响资产负债表，通过主营业务成本影响利润表,是,否(通过存货间接影响)
430102,资本化支出,借,成本,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,是,成本类科目，通过存货影响资产负债表，通过主营业务成本影响利润表,是,否(通过存货间接影响)
4401,工程施工,借,成本,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,是,成本类科目，通过存货影响资产负债表，通过主营业务成本影响利润表,是,否(通过存货间接影响)
440101,合同成本,借,成本,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,是,成本类科目，通过存货影响资产负债表，通过主营业务成本影响利润表,是,否(通过存货间接影响)
440102,间接费用,借,成本,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,是,成本类科目，通过存货影响资产负债表，通过主营业务成本影响利润表,是,否(通过存货间接影响)
440103,合同毛利,贷,成本,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,是,是,成本类科目，通过存货影响资产负债表，通过主营业务成本影响利润表,是,否(通过存货间接影响)
4403,机械作业,借,成本,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,是,是,成本类科目，通过存货影响资产负债表，通过主营业务成本影响利润表,是,否(通过存货间接影响)
5001,主营业务收入,贷,损益,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,否,是,收入类科目，用于利润表,是,否
5051,其他业务收入,贷,损益,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,否,是,收入类科目，用于利润表,是,否
505101,销售材料,贷,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
505102,出租固定资产,贷,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
505103,出租无形资产,贷,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
5111,投资收益,贷,损益,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,否,是,收入类科目，用于利润表,是,否
5301,营业外收入,贷,损益,,传统精确匹配,一级科目，建议使用完全匹配（编码+名称）或编码匹配,否,是,否,是,收入类科目，用于利润表,是,否
530101,非流动资产处置净收益,贷,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
530102,政府补助,贷,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
530103,捐赠收益,贷,损益,,智能语义匹配（大模型）,二级/多级科目，层级和名称可能不完全相同，建议使用大模型进行语义匹配,否,是,否,是,收入类科目，用于利润表,是,否
